type	icdc	bridg	bid
relationship	on_visit	PerformedActivityRelationship	EAID_20A5F35B_9A01_435e_93E3_DD6F8BC36030
property	systolic_bp	PerformedObservationResult.value	EAID_D340400A_3351_4585_8CFC_3B4D7AAE60B7
property	respiration_rate	PerformedObservationResult.value	EAID_D340400A_3351_4585_8CFC_3B4D7AAE60B7
property	respiration_pattern	PerformedObservationResult.value	EAID_D340400A_3351_4585_8CFC_3B4D7AAE60B7
property	pulse_ox	PerformedObservationResult.value	EAID_D340400A_3351_4585_8CFC_3B4D7AAE60B7
property	pulse	PerformedObservationResult.value	EAID_D340400A_3351_4585_8CFC_3B4D7AAE60B7
property	patient_weight	PerformedObservationResult.value	EAID_D340400A_3351_4585_8CFC_3B4D7AAE60B7
property	date_of_vital_signs	PerformedActivity.dateRange	EAID_1D1404A9_F959_45a0_8D16_5810730D7066
property	body_temperature	PerformedObservationResult.value	EAID_D340400A_3351_4585_8CFC_3B4D7AAE60B7
property	body_surface_area	PerformedObservationResult.value	EAID_D340400A_3351_4585_8CFC_3B4D7AAE60B7
property	assessment_timepoint	PlannedActivity.name	EAID_DD54150C_BDB6_4b01_AFE8_511B065299A1
node	vital_signs	PerformedObservation	EAID_E131CF62_27E5_4eee_A9D1_DE1E0C514227
relationship	next	PerformedActivityRelationship	EAID_20A5F35B_9A01_435e_93E3_DD6F8BC36030
relationship	of_cycle	PerformedActivityRelationship	EAID_20A5F35B_9A01_435e_93E3_DD6F8BC36030
relationship	of_case	(Activity as involvingActivity)<-[:be_participated_in_by]-(Subject as involvedSubject)	EAID_9CF299D7_9938_4f6c_B2A8_38AE69C6CAAC
property	visit_number	PlannedActivity.name	EAID_DD54150C_BDB6_4b01_AFE8_511B065299A1
property	visit_date	PerformedActivity.dateRange	EAID_1D1404A9_F959_45a0_8D16_5810730D7066
node	visit	PerformedActivity	EAID_E2BB5EC1_013B_4928_A5BD_867351586A9E
property	veterinary_medical_center	Organization.name	EAID_81A04C4E_62E1_48e6_968C_35A9E047C579
property	site_short_name	Organization.name	EAID_81A04C4E_62E1_48e6_968C_35A9E047C579
property	registering_institution	Organization.name	EAID_81A04C4E_62E1_48e6_968C_35A9E047C579
node	study_site	StudySite	EAID_67703B94_C0DB_4831_B480_B8C3A3ADFB2E
