type	case.case_id	sample_id	physical_sample_type	general_sample_pathology	tumor_sample_origin	summarized_sample_type	sample_site	sample_chronology	specific_sample_pathology	tumor_grade	date_of_sample_collection	sample_preservation	necropsy_sample	percentage_tumor
sample	TCL01-Angus	TCL01-Angus	Cell Line	Malignant	Primary	Tumor Cell Line	Bladder	Not Applicable	Urothelial Carcinoma	Unknown		Not Applicable	No	100%
sample	TCL01-Bliley	TCL01-Bliley	Cell Line	Malignant	Primary	Tumor Cell Line	Distal Urethra	Not Applicable	Urothelial Carcinoma	Unknown		Not Applicable	No	100%
sample	TCL01-Kinsey	TCL01-Kinsey	Cell Line	Malignant	Primary	Tumor Cell Line	Bladder	Not Applicable	Urothelial Carcinoma	Unknown		Not Applicable	No	100%
sample	TCL01-Tyler	TCL01-Tyler1	Cell Line	Malignant	Primary	Tumor Cell Line	Bladder	Not Applicable	Urothelial Carcinoma	Unknown		Not Applicable	No	100%
sample	TCL01-Tyler	TCL01-Tyler2	Cell Line	Malignant	Primary	Tumor Cell Line	Bladder	Not Applicable	Urothelial Carcinoma	Unknown		Not Applicable	No	100%
sample	TCL01-Cindy	TCL01-Cindy	Cell Line	Malignant	Primary	Tumor Cell Line	Spleen	Not Applicable	Hemangiosarcoma	Unknown		Not Applicable	No	100%
sample	TCL01-DEN-HSA	TCL01-DEN-HSA	Cell Line	Malignant	Primary	Tumor Cell Line	Kidney	Not Applicable	Hemangiosarcoma	Unknown		Not Applicable	No	100%
sample	TCL01-SB	TCL01-SB	Cell Line	Malignant	Primary	Tumor Cell Line	Skin	Not Applicable	Hemangiosarcoma	Unknown		Not Applicable	No	100%
sample	TCL01-DH82	TCL01-DH82	Cell Line	Malignant	Primary	Tumor Cell Line	Bone Marrow	Not Applicable	Histiocytic Sarcoma	Unknown		Not Applicable	Yes	100%
sample	TCL01-Nike 	TCL01-Nike 	Cell Line	Malignant	Primary	Tumor Cell Line	Unknown	Not Applicable	Histiocytic Sarcoma	Unknown		Not Applicable	No	100%
sample	TCL01-CLL-1390	TCL01-CLL-1390	Cell Line	Malignant	Primary	Tumor Cell Line	Unknown	Not Applicable	Primitive T-Cell Leukemia	Unknown		Not Applicable	No	100%
sample	TCL01-17-71	TCL01-17-71	Cell Line	Malignant	Primary	Tumor Cell Line	Lymph Node	Not Applicable	B Cell Lymphoma	Unknown		Not Applicable	No	100%
sample	TCL01-CLBL1	TCL01-CLBL1	Cell Line	Malignant	Primary	Tumor Cell Line	Lymph Node, Popliteal	Not Applicable	B Cell Lymphoma	Unknown		Not Applicable	No	100%
sample	TCL01-OSW	TCL01-OSW	Cell Line	Malignant	Metastatic	Tumor Cell Line (metastasis-derived)	Pleural Effusion	Not Applicable	T Cell Lymphoma	Unknown		Not Applicable	No	100%
