repo https://github.com/CBIIT/icdc-model-tool
commit fe9c7b9
node	property	value_or_TYPE
adverse_event	adverse_event_agent_dose	STRING
adverse_event	adverse_event_agent_name	STRING
adverse_event	adverse_event_description	STRING
adverse_event	adverse_event_grade	1
adverse_event	adverse_event_grade	2
adverse_event	adverse_event_grade	3
adverse_event	adverse_event_grade	4
adverse_event	adverse_event_grade	5
adverse_event	adverse_event_grade	Unknown
adverse_event	adverse_event_grade_description	Death
adverse_event	adverse_event_grade_description	Life-threatening
adverse_event	adverse_event_grade_description	Mild
adverse_event	adverse_event_grade_description	Moderate
adverse_event	adverse_event_grade_description	Severe
adverse_event	adverse_event_grade_description	Unknown
adverse_event	adverse_event_record_id	STRING
adverse_event	adverse_event_term	STRING
adverse_event	attribution_to_commercial	Definite
adverse_event	attribution_to_commercial	Not Applicable
adverse_event	attribution_to_commercial	Possible
adverse_event	attribution_to_commercial	Probable
adverse_event	attribution_to_commercial	Unlikely
adverse_event	attribution_to_commercial	Unrelated
adverse_event	attribution_to_disease	Definite
adverse_event	attribution_to_disease	Possible
adverse_event	attribution_to_disease	Probable
adverse_event	attribution_to_disease	Undefined
adverse_event	attribution_to_disease	Unlikely
adverse_event	attribution_to_disease	Unrelated
adverse_event	attribution_to_ind	Definite
adverse_event	attribution_to_ind	Not Applicable
adverse_event	attribution_to_ind	Possible
adverse_event	attribution_to_ind	Probable
adverse_event	attribution_to_ind	Unlikely
adverse_event	attribution_to_ind	Unrelated
adverse_event	attribution_to_other	Definite
adverse_event	attribution_to_other	Possible
adverse_event	attribution_to_other	Probable
adverse_event	attribution_to_other	Undefined
adverse_event	attribution_to_other	Unlikely
adverse_event	attribution_to_other	Unrelated
adverse_event	attribution_to_research	Definite
adverse_event	attribution_to_research	Possible
adverse_event	attribution_to_research	Probable
adverse_event	attribution_to_research	Undefined
adverse_event	attribution_to_research	Unlikely
adverse_event	attribution_to_research	Unrelated
adverse_event	crdc_id	STRING
adverse_event	date_of_onset	DATETIME
adverse_event	date_of_resolution	STRING
adverse_event	day_in_cycle	INTEGER
adverse_event	dose_limiting_toxicity	No
adverse_event	dose_limiting_toxicity	Not Applicable
adverse_event	dose_limiting_toxicity	Yes
adverse_event	existing_adverse_event	No
adverse_event	existing_adverse_event	Yes
adverse_event	ongoing_adverse_event	No
adverse_event	ongoing_adverse_event	Yes
adverse_event	other_attribution_description	STRING
adverse_event	unexpected_adverse_event	No
adverse_event	unexpected_adverse_event	Undefined
adverse_event	unexpected_adverse_event	Yes
biospecimen_source	biospecimen_repository_acronym	STRING
biospecimen_source	biospecimen_repository_full_name	STRING
biospecimen_source	crdc_id	STRING
canine_individual	canine_individual_id	STRING
canine_individual	crdc_id	STRING
case	case_id	STRING
case	crdc_id	STRING
case	patient_first_name	STRING
case	patient_id	STRING
cohort	cohort_description	STRING
cohort	cohort_dose	STRING
cohort	cohort_record_id	STRING
cohort	crdc_id	STRING
consent_group	consent_group_name	STRING
consent_group	consent_group_number	INTEGER
consent_group	consent_group_record_id	STRING
consent_group	crdc_id	STRING
cycle	crdc_id	STRING
cycle	cycle_number	INTEGER
cycle	cycle_record_id	STRING
cycle	date_of_cycle_end	DATETIME
cycle	date_of_cycle_start	DATETIME
demographic	additional_breed_detail	STRING
demographic	breed	Affenpinscher
demographic	breed	Afghan Hound
demographic	breed	Airedale Terrier
demographic	breed	Akita
demographic	breed	Alaskan Klee Kai
demographic	breed	Alaskan Malamute
demographic	breed	American Bulldog
demographic	breed	American English Coonhound
demographic	breed	American Eskimo Dog
demographic	breed	American Foxhound
demographic	breed	American Hairless Terrier
demographic	breed	American Leopard Hound
demographic	breed	American Staffordshire Terrier
demographic	breed	American Water Spaniel
demographic	breed	Anatolian Shepherd Dog
demographic	breed	Appenzeller Sennenhunde
demographic	breed	Australian Cattle Dog
demographic	breed	Australian Kelpie
demographic	breed	Australian Shepherd
demographic	breed	Australian Stumpy Tail Cattle Dog
demographic	breed	Australian Terrier
demographic	breed	Azawakh
demographic	breed	Barbado da Terceira
demographic	breed	Barbet
demographic	breed	Basenji
demographic	breed	Basset Fauve de Bretagne
demographic	breed	Basset Hound
demographic	breed	Bavarian Mountain Scent Hound
demographic	breed	Beagle
demographic	breed	Bearded Collie
demographic	breed	Beauceron
demographic	breed	Bedlington Terrier
demographic	breed	Belgian Laekenois
demographic	breed	Belgian Malinois
demographic	breed	Belgian Sheepdog
demographic	breed	Belgian Tervuren
demographic	breed	Bergamasco Sheepdog
